user,item,rating
Пользователь_5,Фитнес-браслет,2.3
Пользователь_5,Бутылка,1.2
Пользователь_5,Краски,2.1
Пользователь_5,Глина,1.4
Пользователь_6,Клавиатура,3.8
Пользователь_6,Монитор,4.6
Пользователь_6,USB-хаб,4.1
Пользователь_6,Веб-камера,5.0
Пользователь_6,SSD,4.7
Пользователь_6,Кроссовки,1.5
Пользователь_6,Гантели,2.4
Пользователь_6,Мяч,2.2
Пользователь_6,Фитнес-браслет,2.5
Пользователь_6,Скакалка,1.3
Пользователь_6,Бутылка,1.6
Пользователь_6,Альбом,2.1
Пользователь_6,Глина,2.4
Пользователь_6,Холст,1.3
Пользователь_7,Ноутбук,4.5
Пользователь_7,Наушники,4.0
Пользователь_7,Веб-камера,4.7
Пользователь_7,SSD,4.4
Пользователь_7,Мяч,2.4
Пользователь_7,Фитнес-браслет,1.8
Пользователь_7,Скакалка,2.4
Пользователь_7,Бутылка,2.1
Пользователь_7,Краски,2.2
Пользователь_7,Альбом,2.0
Пользователь_7,Холст,1.4
Пользователь_8,Ноутбук,5.0
Пользователь_8,USB-хаб,4.2
Пользователь_8,Веб-камера,4.8
Пользователь_8,Коврик,2.6
Пользователь_8,Мяч,2.1
Пользователь_8,Фитнес-браслет,1.6
Пользователь_8,Скакалка,1.1
Пользователь_8,Бутылка,2.2
Пользователь_8,Краски,1.6
Пользователь_8,Альбом,1.8
Пользователь_8,Глина,1.6
Пользователь_8,Холст,2.1
Пользователь_8,Кисти,3.1
Пользователь_9,Клавиатура,4.8
Пользователь_9,Монитор,4.2
Пользователь_9,USB-хаб,4.9
Пользователь_9,Веб-камера,4.8
Пользователь_9,SSD,4.9
Пользователь_9,Кроссовки,1.8
Пользователь_9,Гантели,1.7
Пользователь_9,Мяч,2.2
Пользователь_9,Фитнес-браслет,2.8
Пользователь_9,Скакалка,1.6
Пользователь_9,Краски,1.4
Пользователь_9,Альбом,2.2
Пользователь_9,Карандаши,2.4
Пользователь_9,Глина,1.0
Пользователь_9,Холст,1.5
Пользователь_9,Кисти,2.8
Пользователь_10,Ноутбук,3.8
Пользователь_10,Наушники,5.0
Пользователь_10,Клавиатура,3.8
Пользователь_10,USB-хаб,4.4
Пользователь_10,Веб-камера,4.5
Пользователь_10,Кроссовки,2.8
Пользователь_10,Гантели,1.4
Пользователь_10,Коврик,1.9
Пользователь_10,Скакалка,2.3
Пользователь_10,Бутылка,2.1
Пользователь_10,Краски,1.7
Пользователь_10,Альбом,1.7
Пользователь_10,Карандаши,2.4
Пользователь_10,Глина,2.4
Пользователь_11,Ноутбук,2.2
Пользователь_11,Наушники,2.4
Пользователь_11,Монитор,2.3
Пользователь_11,USB-хаб,1.7
Пользователь_11,Кроссовки,5.0
Пользователь_11,Мяч,4.5
Пользователь_11,Скакалка,5.0
Пользователь_11,Краски,1.9
Пользователь_11,Глина,1.7
Пользователь_11,Холст,1.1
Пользователь_11,Кисти,1.8
Пользователь_12,Ноутбук,2.4
Пользователь_12,Клавиатура,2.3
Пользователь_12,Монитор,2.0
Пользователь_12,USB-хаб,1.7
Пользователь_12,SSD,2.3
Пользователь_12,Кроссовки,5.0
Пользователь_12,Гантели,4.3
Пользователь_12,Фитнес-браслет,4.6
Пользователь_12,Скакалка,5.0
Пользователь_12,Карандаши,1.8
Пользователь_12,Глина,2.2
Пользователь_12,Холст,2.7
Пользователь_13,Ноутбук,1.8
Пользователь_13,Наушники,2.0
Пользователь_13,Клавиатура,2.6
Пользователь_13,Монитор,2.4
Пользователь_13,Веб-камера,2.3
Пользователь_13,SSD,1.8
Пользователь_13,Гантели,4.5
Пользователь_13,Мяч,5.0
Пользователь_13,Фитнес-браслет,4.5
Пользователь_13,Скакалка,4.7
Пользователь_13,Бутылка,5.0
Пользователь_13,Краски,1.6
Пользователь_13,Карандаши,1.9
Пользователь_13,Глина,2.5
Пользователь_13,Холст,1.9
Пользователь_13,Кисти,1.3
Пользователь_14,Ноутбук,1.0
Пользователь_14,Клавиатура,2.2
Пользователь_14,Монитор,1.3
Пользователь_14,SSD,2.9
Пользователь_14,Кроссовки,5.0
Пользователь_14,Коврик,4.3
Пользователь_14,Мяч,4.7
Пользователь_14,Бутылка,4.5
Пользователь_14,Краски,1.9
Пользователь_14,Кисти,2.0
Пользователь_15,Монитор,1.5
Пользователь_15,Веб-камера,1.9
Пользователь_15,SSD,2.5
Пользователь_15,Кроссовки,5.0
Пользователь_15,Гантели,4.6
Пользователь_15,Мяч,5.0
Пользователь_15,Скакалка,5.0
Пользователь_15,Бутылка,4.6
Пользователь_15,Краски,2.7
Пользователь_15,Альбом,2.4
Пользователь_15,Карандаши,1.1
Пользователь_15,Глина,2.7
Пользователь_15,Кисти,2.8
Пользователь_16,Ноутбук,2.0
Пользователь_16,Наушники,1.1
Пользователь_16,Клавиатура,2.0
Пользователь_16,USB-хаб,2.6
Пользователь_16,Веб-камера,1.3
Пользователь_16,SSD,1.4
Пользователь_16,Кроссовки,4.7
Пользователь_16,Коврик,4.0
Пользователь_16,Мяч,4.8
Пользователь_16,Фитнес-браслет,4.2
Пользователь_16,Скакалка,4.1
Пользователь_16,Бутылка,4.4
Пользователь_16,Краски,1.5
Пользователь_16,Альбом,3.0
Пользователь_16,Карандаши,2.0
Пользователь_16,Холст,2.4
Пользователь_17,Ноутбук,1.7
Пользователь_17,Наушники,1.9
Пользователь_17,Клавиатура,1.0
Пользователь_17,Монитор,2.8
Пользователь_17,USB-хаб,1.9
Пользователь_17,Веб-камера,2.3
Пользователь_17,SSD,2.2
Пользователь_17,Кроссовки,4.4
Пользователь_17,Гантели,4.0
Пользователь_17,Коврик,4.1
Пользователь_17,Мяч,3.8
Пользователь_17,Фитнес-браслет,4.2
Пользователь_17,Скакалка,4.0
Пользователь_17,Краски,2.5
Пользователь_17,Альбом,2.3
Пользователь_17,Карандаши,3.2
Пользователь_17,Холст,2.5
Пользователь_17,Кисти,1.6
Пользователь_18,Ноутбук,1.3
Пользователь_18,Наушники,1.3
Пользователь_18,Клавиатура,2.3
Пользователь_18,Монитор,1.7
Пользователь_18,USB-хаб,1.8
Пользователь_18,Веб-камера,2.0
Пользователь_18,SSD,1.6
Пользователь_18,Гантели,4.7
Пользователь_18,Фитнес-браслет,4.5
Пользователь_18,Скакалка,4.8
Пользователь_18,Бутылка,4.6
Пользователь_18,Краски,2.5
Пользователь_18,Альбом,1.6
Пользователь_18,Карандаши,2.1
Пользователь_18,Глина,1.0
Пользователь_18,Холст,1.2
Пользователь_18,Кисти,2.4
Пользователь_19,Ноутбук,3.4
Пользователь_19,Наушники,1.2
Пользователь_19,Клавиатура,1.7
Пользователь_19,Монитор,2.4
Пользователь_19,Веб-камера,1.0
Пользователь_19,SSD,1.6
Пользователь_19,Мяч,4.6
Пользователь_19,Фитнес-браслет,4.5
Пользователь_19,Скакалка,4.7
Пользователь_19,Краски,2.8
Пользователь_19,Карандаши,1.8
Пользователь_19,Холст,1.8
Пользователь_19,Кисти,2.4
Пользователь_20,Ноутбук,1.8
Пользователь_20,Клавиатура,1.7
Пользователь_20,Монитор,1.0
Пользователь_20,Веб-камера,2.2
Пользователь_20,SSD,1.9
Пользователь_20,Кроссовки,4.6
Пользователь_20,Гантели,4.9
Пользователь_20,Мяч,4.1
Пользователь_20,Скакалка,4.3
Пользователь_20,Бутылка,4.6
Пользователь_20,Краски,2.1
Пользователь_20,Альбом,2.4
Пользователь_20,Карандаши,1.6
Пользователь_20,Глина,2.2
Пользователь_20,Холст,2.2
Пользователь_21,Ноутбук,2.6
Пользователь_21,Наушники,1.8
Пользователь_21,Клавиатура,2.5
Пользователь_21,Монитор,2.5
Пользователь_21,USB-хаб,1.2
Пользователь_21,Веб-камера,2.1
Пользователь_21,SSD,2.1
Пользователь_21,Кроссовки,2.4
Пользователь_21,Гантели,2.1
Пользователь_21,Коврик,3.3
Пользователь_21,Мяч,2.9
Пользователь_21,Бутылка,2.3
Пользователь_21,Краски,3.8
Пользователь_21,Холст,5.0
Пользователь_21,Кисти,4.5
Пользователь_22,Ноутбук,2.5
Пользователь_22,Наушники,1.9
Пользователь_22,Монитор,1.8
Пользователь_22,USB-хаб,2.4
Пользователь_22,SSD,1.0
Пользователь_22,Кроссовки,1.8
Пользователь_22,Гантели,2.8
Пользователь_22,Коврик,1.9
Пользователь_22,Мяч,1.9
Пользователь_22,Фитнес-браслет,1.9
Пользователь_22,Скакалка,2.3
Пользователь_22,Бутылка,1.9
Пользователь_22,Краски,3.9
Пользователь_22,Карандаши,4.2
Пользователь_22,Холст,4.6
Пользователь_23,Ноутбук,3.3
Пользователь_23,Наушники,1.4
Пользователь_23,Монитор,1.0
Пользователь_23,USB-хаб,2.5
Пользователь_23,Веб-камера,1.8
Пользователь_23,Гантели,1.8
Пользователь_23,Коврик,1.4
Пользователь_23,Мяч,2.9
Пользователь_23,Фитнес-браслет,2.5
Пользователь_23,Скакалка,2.6
Пользователь_23,Бутылка,2.4
Пользователь_23,Краски,3.9
Пользователь_23,Альбом,4.2
Пользователь_23,Карандаши,4.7
Пользователь_23,Глина,4.4
Пользователь_24,Наушники,1.8
Пользователь_24,Клавиатура,1.7
Пользователь_24,USB-хаб,1.5
Пользователь_24,Веб-камера,2.2
Пользователь_24,SSD,1.4
Пользователь_24,Коврик,1.6
Пользователь_24,Мяч,1.3
Пользователь_24,Фитнес-браслет,1.4
Пользователь_24,Скакалка,2.9
Пользователь_24,Бутылка,2.1
Пользователь_24,Альбом,4.5
Пользователь_24,Глина,4.6
Пользователь_24,Холст,4.6
Пользователь_24,Кисти,4.7
Пользователь_25,Ноутбук,1.1
Пользователь_25,Наушники,2.1
Пользователь_25,Монитор,1.9
Пользователь_25,USB-хаб,1.2
Пользователь_25,Веб-камера,2.3
Пользователь_25,SSD,1.8
Пользователь_25,Кроссовки,2.3
Пользователь_25,Гантели,2.8
Пользователь_25,Коврик,2.8
Пользователь_25,Мяч,1.9
Пользователь_25,Фитнес-браслет,2.4
Пользователь_25,Скакалка,1.8
Пользователь_25,Бутылка,2.1
Пользователь_25,Краски,3.7
Пользователь_25,Альбом,4.1
Пользователь_25,Глина,4.0
Пользователь_25,Холст,5.0
Пользователь_26,Наушники,1.7
Пользователь_26,Клавиатура,2.1
Пользователь_26,Монитор,2.6
Пользователь_26,USB-хаб,1.6
Пользователь_26,Веб-камера,2.0
Пользователь_26,SSD,2.9
Пользователь_26,Кроссовки,2.4
Пользователь_26,Коврик,1.7
Пользователь_26,Мяч,1.1
Пользователь_26,Фитнес-браслет,2.6
Пользователь_26,Бутылка,2.0
Пользователь_26,Краски,4.8
Пользователь_26,Альбом,4.7
Пользователь_26,Глина,4.8
Пользователь_26,Холст,4.3
Пользователь_26,Кисти,4.8
Пользователь_27,Ноутбук,2.4
Пользователь_27,Наушники,2.1
Пользователь_27,Клавиатура,2.2
Пользователь_27,Веб-камера,1.9
Пользователь_27,Гантели,1.3
Пользователь_27,Коврик,2.3
Пользователь_27,Мяч,1.5
Пользователь_27,Скакалка,2.6
Пользователь_27,Бутылка,2.7
Пользователь_27,Краски,4.6
Пользователь_27,Альбом,4.6
Пользователь_27,Карандаши,4.9
Пользователь_27,Глина,4.5
Пользователь_28,Наушники,2.5
Пользователь_28,Монитор,3.1
Пользователь_28,Кроссовки,1.8
Пользователь_28,Гантели,1.6
Пользователь_28,Коврик,2.4
Пользователь_28,Мяч,1.5
Пользователь_28,Фитнес-браслет,1.5
Пользователь_28,Скакалка,1.0
Пользователь_28,Бутылка,1.4
Пользователь_28,Краски,4.4
Пользователь_28,Глина,4.1
Пользователь_28,Холст,5.0
Пользователь_28,Кисти,5.0
Пользователь_29,Ноутбук,1.7
Пользователь_29,Наушники,1.7
Пользователь_29,Монитор,2.7
Пользователь_29,USB-хаб,1.7
Пользователь_29,Веб-камера,1.7
Пользователь_29,SSD,2.3
Пользователь_29,Кроссовки,2.8
Пользователь_29,Гантели,2.9
Пользователь_29,Мяч,2.3
Пользователь_29,Фитнес-браслет,2.5
Пользователь_29,Скакалка,1.1
Пользователь_29,Бутылка,1.4
Пользователь_29,Альбом,4.2
Пользователь_29,Глина,4.6
Пользователь_29,Холст,5.0
Пользователь_29,Кисти,4.7
Пользователь_30,Ноутбук,1.2
Пользователь_30,Монитор,2.2
Пользователь_30,Гантели,2.5
Пользователь_30,Мяч,2.8
Пользователь_30,Бутылка,1.9
Пользователь_30,Краски,4.6
Пользователь_30,Карандаши,4.7
Пользователь_30,Глина,4.7
Пользователь_30,Холст,4.9
